Name,Rating,Votes,Duration,Genre
Eagle,5.9, 4.9K,2h 39m,Action
Mission: Cross,6.1, 2.6K,1h 45m,Action
Don't Mess with Grandma,6.0, 154,1h 21m,Action
GTMax,5.0, 1.2K,1h 40m,Action
Bhaiyya Ji,4.8, 7.4K,2h 30m,Action
School of Magical Animals 3,5.8, 315,1h 45m,Action
Naam,6.3, 277,2h 16m,Action
Virunnu,7.3, 886,2h 5m,Action
The Friendly,8.1, 15,1h 41m,Action
Yolo,6.9, 3.7K,2h 9m,Action
Operation Undead,4.6, 405,1h 50m,Action
Stuntman,6.9, 169,1h 54m,Action
5 Pounds of Pressure,6.7, 16,1h 51m,Action
Roadkill,3.7, 682,1h 30m,Action
The Bouncer,4.2, 90,1h 18m,Action
Conquer: Lahad Datu,6.6, 515,2h,Action
Cassino in Ischia,4.4, 242,1h 53m,Action
Martin,2.2, 36K,2h 27m,Action
Big City Greens the Movie: Spacecation,6.2, 542,1h 23m,Action
Pimpinero: Blood and Oil,5.6, 551,2h 1m,Action
Tillu Square,6.6, 3.4K,2h 17m,Action
The Last Ronin,4.9, 575,1h 55m,Action
Hunting with Tigers,5.6, 537,1h 49m,Action
Six jours,6.4, 103,1h 35m,Action
Snatched,4.9, 209,1h 41m,Action
Sons of Rizk 3,6.7, 1.7K,2h 5m,Action
Warrior Awang and Master Tok Gajah,4.6, 476,1h 58m,Action
Nothing Even Matters,5.5, 77,1h 30m,Action
Taken from Rio Bravo,3.0, 315,1h 20m,Action
Crakk: Jeetega... Toh Jiyegaa,4.7, 6.5K,2h 34m,Action
No Time to Spy: A Loud House Movie,6.4, 449,1h 21m,Action
American Underdog,8.7, 24,1h 29m,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1, 660,2h 54m,Action
Ka Whawhai Tonu,7.3, 179,1h 55m,Action
Troubleshooters,6.5, 417,1h 50m,Action
I Heart Robots,4.6, 2.4K,1h 16m,Action
The Charisma Killers,6.1, 658,1h 41m,Action
Yudhra,5.0, 13K,2h 22m,Action
UI,6.8, 5.7K,2h 15m,Action
Je Jatt Vigarh Gya,5.6, 825,2h 12m,Action
Spiders on a Plane,5.1, 372,1h 18m,Action
The Moon Thieves,6.1, 253,1h 48m,Action
Deaner '89,5.9, 419,1h 30m,Action
Barroz: Guardian of Treasures,3.5, 1K,2h 35m,Action
Nu Huo 12 Xiao Shi,6.1, 48,1h 26m,Action
Non Negotiable,5.4, 1.2K,1h 27m,Action
Big Rage,3.6, 166,1h 55m,Action
Customs Frontline,5.4, 490,1h 55m,Action
Agents,3.4, 933,1h 22m,Action
Sasan,8.7, 72,2h 35m,Action
Razakar: The Silent Genocide of Hyderabad,7.4, 5.3K,2h 46m,Action
Tiger's Trigger,4.2, 18,1h 24m,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.1, 468,1h 12m,Action
Garudan,7.1, 3.3K,2h 13m,Action
Mongol,8.6, 95,2h 35m,Action
Ghost Killer,7.0, 76,1h 45m,Action
Checkmate,4.3, 390,1h 44m,Action
Rajakili,6.8, 585,2h 2m,Action
Crisis Negotiators,6.7, 717,2h,Action
Baby Assassins: Nice Days,7.3, 305,1h 43m,Action
Lady Scorpions,3.6, 367,1h 41m,Action
The Kingdom,7.9, 89,2h 13m,Action
Mirza: Part 1 - Joker,6.8, 241,2h 45m,Action
Love You to Debt,6.2, 759,2h 15m,Action
Mr. Bachchan,3.6, 5.3K,2h 30m,Action
The Experts,6.1, 279,2h 1m,Action
Black Creek,7.3, 8,1h 56m,Action
Go for Broke,5.7, 272,1h 55m,Action
Babu,7.4, 184,2h 22m,Action
Eye for an Eye 2,6.6, 506,1h 30m,Action
Crosspoint,6.5, 43,1h 40m,Action
Ayalaan,6.0, 4K,2h 35m,Action
Iron Fighter,3.6, 64,1h 20m,Action
The Day Everything Changed,8.0, 80,1h 37m,Action
Lal Salaam,4.5, 1.3K,2h 30m,Action
Midas,4.7, 340,1h 25m,Action
Mobile Suit Gundam SEED Freedom,6.6, 952,2h 4m,Action
Paradise,6.9, 78,1h 23m,Action
Rendel: Cycle of Revenge,3.6, 245,1h 39m,Action
(Pri)sons,5.0, 273,1h 40m,Action
Breaking and Re-entering,5.8, 443,1h 49m,Action
The Plot,4.8, 382,1h 40m,Action
Baki Hanma VS Kengan Ashura,5.7, 1.9K,1h 2m,Action
UmroAyyar - A New Beginning,6.9, 675,2h 15m,Action
Purushothamudu,5.2, 2.2K,2h,Action
Bidurbhai,9.2, 380,2h 28m,Action
Aserb: The Squadron,5.2, 307,2h,Action
Sikaar,8.3, 677,2h 30m,Action
6 Hours Away,3.9, 246,1h 33m,Action
Kizumonogatari: Koyomi Vamp,7.0, 89,2h 24m,Action
Harom Hara,6.6, 3K,2h 34m,Action
Gandhi 3,5.5, 239,2h 23m,Action
Yuva,5.8, 837,2h 33m,Action
Appudo Ippudo Eppudo,4.7, 231,2h,Action
Hit List,5.5, 313,2h 5m,Action
Road Wars: Max Fury,2.0, 350,1h 23m,Action
Ruslaan,3.3, 1.2K,2h,Action
Malayalee from India,5.6, 5K,2h 40m,Action
Fighting the Fire,8.5, 1.7K,1h 55m,Action
Bangkok Breaking: Heaven and Hell,5.8, 667,2h 26m,Action
Star Abyss,3.8, 247,1h 26m,Action
Siren,6.4, 2.9K,2h 34m,Action
Sabari,6.5, 5.4K,2h 9m,Action
They Call Her Death,6.8, 28,1h 32m,Action
Bachhala Malli,8.3, 3.9K,2h 20m,Action
Correr para Vivir,7.0, 197,1h 37m,Action
The Heist,6.9, 2K,2h,Action
Anunnakiler,2.5, 451,1h 16m,Action
First Nights at Freddy's,9.3, 16,1h 38m,Action
Hunt the Wicked,5.3, 113,1h 42m,Action
Malaikottai Vaaliban,6.0, 4.1K,2h 36m,Action
Bureau 749,4.0, 533,2h 3m,Action
Double Ismart,2.9, 2.1K,2h 36m,Action
Samandar,7.7, 140,2h 52m,Action
Operation Valentine,5.3, 1.4K,2h 13m,Action
The Traveller,5.2, 208,2h 14m,Action
Alangu,8.1, 1.2K,2h 11m,Action
The Actor,3.4, 733,2h 8m,Action
Drive,5.6, 333,1h 30m,Action
Kondal,5.3, 774,2h 27m,Action
Clownface 3,9.0, 36,1h 44m,Action
My Fathers' Daughter,6.7, 74,1h 18m,Action
The Lost Tiger,7.9, 45,1h 30m,Action
Bohurupi,8.3, 1.4K,2h 35m,Action
The Epidemic,5.7, 72,1h 35m,Action
The Unbreakable Bunch,7.2, 26,R,Action
12 Gaun,6.3, 884,2h 27m,Action
Fyre Rises,6.5, 322,1h 50m,Action
Bhaje Vaayu Vegam,6.1, 555,2h 16m,Action
Shark Island,3.2, 115,1h 21m,Action
Telekinesis,5.9, 60,1h 46m,Action
Buddy,3.8, 346,2h 17m,Action
Die Chaosschwestern und Pinguin Paul,5.7, 67,1h 40m,Action
Memes & Nightmares,5.7, 85,1h 21m,Action
Zebra,7.2, 3.2K,2h 44m,Action
Camp Blood: Clown Shark,3.3, 87,1h 10m,Action
Jorge da Capadócia,6.4, 131,1h 59m,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.0, 20,1h 30m,Action
Turbo,5.9, 3.6K,2h 35m,Action
Captain Miller,6.5, 8.6K,2h 37m,Action
Where Is Gilgamesh?,9.0, 607,1h 30m,Action
Mazhai Pidikatha Manithan,4.5, 424,2h 13m,Action
Game On,5.3, 2.3K,2h 20m,Action
Hitler,5.2, 305,2h 8m,Action
Por,5.1, 615,2h 34m,Action
Prepare to Die,4.6, 235,1h 33m,Action
Red vs. Blue: Restoration,5.6, 137,1h 25m,Action
Tòkunbò,3.9, 296,1h 53m,Action
Sucha Soorma,6.4, 918,2h 16m,Action
Mummy Shark,2.0, 178,1h 6m,Action
Buying Time,6.2, 420,1h 24m,Action
Ship of the Damned,2.8, 298,1h 28m,Action
Bull Shark 2,2.9, 160,1h 15m,Action
Ghosts of Red Ridge,3.3, 158,1h 21m,Action
Taklee Genesis x Worlds Collide,5.4, 409,2h 26m,Action
Bastar: The Naxal Story,6.4, 3.3K,2h 4m,Action
The Mick and the Trick,4.9, 76,1h 36m,Action
Mission: Chapter 1,5.9, 1.7K,2h 24m,Action
Ameena,6.4, 19,1h 47m,Action
Spirit Riser,6.7, 33,1h 38m,Action
Touchdown,6.8, 14,1h 18m,Action
Speed 220,6.8, 1K,1h 54m,Action
Echo 8,3.9, 199,1h 36m,Action
The Desperate Chase,5.5, 60,1h 50m,Action
The Omicron Killer,2.9, 596,1h 38m,Action
Sayen: The Huntress,4.4, 255,1h 28m,Action
Agastya - Chapter 1,6.9, 597,2h 48m,Action
Matka,4.7, 585,2h 36m,Action
Gangs of Godavari,5.0, 909,2h 45m,Action
Ame no naka no yokujô,5.9, 75,2h 12m,Action
Losing Lerato 2,9.1, 34,1h 36m,Action
Kung Fu Games,3.3, 381,1h 38m,Action
Diabel,5.1, 249,1h 48m,Action
Shu Si Yi Bo,6.7, 33,1h 31m,Action
Guy Manley: Super Spy,4.4, 117,1h 32m,Action
Ballistic,2.2, 161,1h 35m,Action
The Circuit 4: Faith Fighter,4.3, 89,1h 30m,Action
I Am What I Am 2,7.5, 204,2h 14m,Action
DNA,5.1, 210,2h 36m,Action
The Last Chainsaw Massacre,3.8, 41,1h 15m,Action
Vixen,6.7, 91,1h 28m,Action
Young Lion of the West,5.2, 108,1h 33m,Action
Sunfall,2.3, 37,1h 14m,Action
Onsen shâku,5.9, 32,1h 10m,Action
Panjab Files,8.2, 20,1h 57m,Action
Mathu Vadalara 2,7.0, 1.7K,2h 19m,Action
Clone Cops,7.1, 200,1h 36m,Action
Saindhav,5.1, 1.6K,2h 18m,Action
Blade of Fury,6.1, 125,1h 30m,Action
Jathara,7.8, 1.1K,2h 9m,Action
How to Make a Werewolf,5.9, 139,16+,Action
Mutant,4.5, 59,1h 30m,Action
High Forces,5.7, 529,1h 59m,Action
Bonus Trip,4.5, 226,1h 53m,Action
Formed Police Unit,4.6, 477,2h,Action
Sous écrous,5.4, 35,1h 51m,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0, 33,50m,Action
The Infallibles,4.8, 754,1h 39m,Action
Dange,5.3, 794,2h 34m,Action
Transformers Prime: Galavatron's Revenge,3.7, 9,1h 44m,Action
Raju Gari Ammayi Naidu Gari Abbayi,8.2, 3.1K,2h 38m,Action
Kill Craft,2.4, 365,1h 39m,Action
24 Hours to D-Day,4.6, 36,1h 23m,Action
Rebel,3.1, 65,1h 40m,Action
Thundu,5.0, 906,2h 5m,Action
The Grey Men,6.4, 70,1h 37m,Action
Marni: The Story of Wewe Gombel,5.9, 213,1h 59m,Action
The Wild Blade of Strangers,6.2, 113,1h 42m,Action
Oru Anveshanathinte Thudakkam,7.1, 830,3h 1m,Action
Black Storm,6.6, 64,1h 37m,Action
Dragon Ball Z Kai,8.5, 71,1h 22m,Action
Bhairadevi,8.7, 49,2h 14m,Action
The Miranda Brothers,4.4, 190,1h 39m,Action
Ape X Mecha Ape: New World Order,2.8, 135,1h 27m,Action
Jithender Reddy,7.5, 2.4K,2h 16m,Action
Kali,5.1, 418,1h 36m,Action
Shekko,6.0, 564,2h,Action
In Tenebras: Into the Darkness,3.3, 174,1h 30m,Action
Indrani: Epic-1 Dharam vs Karam,7.6, 1.1K,2h 37m,Action
Dreams,7.6, 8,1h 46m,Action
Karma,4.3, 18,1h 51m,Action
Sector 17,5.5, 1.3K,2h 26m,Action
Gam Gam Ganesha,5.3, 310,2h 20m,Action
Serra das Almas,6.3, 10,2h,Action
Devaki Nandana Vasudeva,6.5, 2.7K,2h 8m,Action
Desperado,5.9, 144,1h 40m,Action
Athhoi,8.0, 134,2h 38m,Action
Kadakan,4.0, 112,2h 8m,Action
Gold Raiders,2.0, 183,1h 28m,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7, 202,2h 9m,Action
Bandaa Singh Chaudhary,6.3, 5.2K,1h 53m,Action
Texas Twister,2.5, 158,1h 28m,Action
Captain Avispa,5.8, 177,1h 36m,Action
Kamen Rider 555 20th: Paradise Regained,5.9, 142,1h 5m,Action
Death Game,6.3, 24,1h 28m,Action
Honeko Akabane's Bodyguards,5.9, 40,1h 57m,Action
Saint Young Men: Holy Men vs Demon Army,3.0, 13,1h 33m,Action
Bond of Justice: Kizuna Part I - Encounter,6.2, 18,1h 32m,Action
Hell City,9.1, 27,1h 30m,Action
Next to Us,4.8, 223,2h 5m,Action
The Vampire and the Vigilante,3.6, 51,1h 15m,Action
Rang De Basanti,8.8, 145,2h 54m,Action
Polar,4.4, 29,1h 16m,Action
Love You as the World Ends Final,6.3, 38,1h 55m,Action
The Alexandrian,3.8, 254,1h 44m,Action
Shadows of Betrayal: Chronicles of Ian Blair,7.3, 12,1h 5m,Action
Hiranya,5.6, 20,2h 18m,Action
London Gangsters,4.3, 11,1h 44m,Action
SCP: The Infinite Mission,6.0, 32,16+,Action
Too Little Too Late,5.5, 8,1h 6m,Action
Lisabi: The Uprising,6.1, 125,1h 47m,Action
Uninvited,6.5, 77,1h 33m,Action
Türkler Çildirmis Olmali 2: Mavi Vatan,2.2, 157,1h 40m,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.5, 42,1h 22m,Action
Dark Fusion,8.5, 235,1h 30m,Action
Neon Fear,5.8, 549,40m,Action
Reloaded 2,7.7, 1.1K,45m,Action
The Evil Three,6.7, 990,30m,Action
Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,7.4, 20,1h 56m,Action
