Name,Rating,Votes,Duration,Genre
Yo no soy esa,4.9, 279,1h 35m,Romance
What Happened in My Black Boyfriend's Room,4.8, 8,1h 2m,Romance
Hold Me Close,7.4, 12,1h 38m,Romance
Enchanting Christmas,6.3, 354,1h 31m,Romance
À toute allure,5.4, 172,1h 26m,Romance
Saint Nick of Bethlehem,9.2, 101,1h 33m,Romance
¿Vienes o Voy?,6.7, 15,1h 34m,Romance
Ek Anjaan Rishtey Ka Guilt 3,8.0, 67,1h 44m,Romance
Sunlight,7.9, 17,1h 36m,Romance
Rasavathi,6.4, 563,2h 28m,Romance
Jatt & Juliet 3,5.4, 1.8K,2h 15m,Romance
Love Li,6.4, 13K,2h 48m,Romance
The Lifeguards,3.8, 139,1h 47m,Romance
Morena,6.9, 103,1h 46m,Romance
Boys on Film 24: Happy Endings,7.0, 28,2h 54m,Romance
Last Song for You,7.3, 94,1h 46m,Romance
Love Stuck,5.6, 157,1h 56m,Romance
Looking for Dr. Love,5.9, 130,1h 25m,Romance
Little Hearts,5.8, 2.2K,2h 16m,Romance
"Chances Are, You and I",6.3, 108,2h 12m,Romance
Viva La Vida,7.5, 819,2h 10m,Romance
Maple Leaf Dreams,4.3, 91,1h 41m,Romance
Daghabaaz Dil,6.6, 71,2h 3m,Romance
Meeting Ms. Leigh,9.2, 77,1h 57m,Romance
My Boyfriend Is a Sex Worker,5.2, 15,50m,Romance
Ancika,6.8, 798,1h 40m,Romance
I Am the Secret in Your Heart,6.1, 194,1h 52m,Romance
Lula Leblanc,6.7, 42,1h 36m,Romance
Explosions in My Heart,6.8, 35,1h 45m,Romance
A European Christmas,4.7, 192,1h 30m,Romance
Sweet Summer Love,6.4, 64,1h 30m,Romance
Love Is Never on Time,8.8, 59,1h 50m,Romance
Future Date,5.6, 124,1h 22m,Romance
A Bluegrass Christmas,6.0, 231,1h 24m,Romance
Krista,5.6, 49,58m,Romance
We Are Faheem & Karun,9.2, 58,1h 21m,Romance
Dr. Jason II - Lights & Shadows,4.9, 328,1h 2m,Romance
Rokjesnacht,4.8, 227,1h 35m,Romance
Perdiendo el Juicio,7.6, 19,1h 30m,Romance
Los pequeños amores,6.3, 353,1h 35m,Romance
Pon Ondru Kanden,5.7, 271,2h,Romance
Gharjwai,8.2, 851,2h 14m,Romance
Under Parallel Skies,5.6, 783,1h 50m,Romance
Fruitcake,5.3, 122,1h 37m,Romance
Hearts Creek,5.8, 117,1h 30m,Romance
Young Lion of the West,5.2, 108,1h 33m,Romance
Powder Pup,6.2, 76,1h 29m,Romance
Valentine's Town,5.2, 193,1h 24m,Romance
Prabuthwa Junior Kalashala,7.0, 2.1K,2h 11m,Romance
Varshangalkku Shesham,6.6, 4.2K,2h 46m,Romance
Günesi Söndürmem Gerek,3.5, 182,1h 45m,Romance
Mr. Bachchan,3.6, 5.3K,2h 30m,Romance
Three Secrets,4.4, 47,1h 32m,Romance
Yuva,5.8, 836,2h 33m,Romance
ON i Ona,4.5, 59,1h 30m,Romance
La piel en primavera,6.9, 50,1h 40m,Romance
Love Mouli,6.5, 81,2h 26m,Romance
Reloaded 2,7.8, 1.1K,45m,Romance
Nikdo me nemá rád,5.8, 39,1h 24m,Romance
The Property,7.5, 54,1h 50m,Romance
The Mercedes Story: A Troubled Soul,7.6, 20,2h 8m,Romance
"María, Me Muero",5.5, 93,1h 33m,Romance
The Time of Fever,8.0, 646,1h 41m,Romance
Heartbreak Motel,7.0, 300,1h 55m,Romance
Visal Adare,5.9, 139,2h,Romance
"Love, Sitara",5.3, 297,1h 45m,Romance
Across the Sea,6.4, 65,1h 52m,Romance
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9, 83,2h 18m,Romance
Lobola Man,4.6, 201,1h 48m,Romance
Nado snimat filmy o lyubvi,7.3, 33,1h 13m,Romance
Roti Kapda Romance,5.9, 2.5K,2h 33m,Romance
Komandir,6.4, 520,2h 11m,Romance
Holiday for Hire,5.8, 191,1h 24m,Romance
Land of Broken Hearts,6.3, 186,1h 40m,Romance
Kahan Shuru Kahan Khatam,6.2, 3.1K,1h 47m,Romance
Moments We Shared,5.4, 120,2h 11m,Romance
Momma's Boy,3.8, 48,1h 45m,Romance
Seni Memahami Kekasih,8.0, 61,1h 31m,Romance
Benaam Rishta,6.6, 9,1h 30m,Romance
"LSD 2: Love, Sex Aur Dhokha 2",3.8, 2.8K,1h 59m,Romance
Morando com o Crush,5.3, 180,1h 30m,Romance
Dhruvathaare,8.0, 646,2h 45m,Romance
Ahl Al Kahf,5.3, 262,2h,Romance
My Future You,8.3, 50,1h 49m,Romance
The Mediterranean Sea,7.2, 82,1h 48m,Romance
Emakku Thozhil Romance,4.8, 125,1h 51m,Romance
Coven of the Black Cube,7.8, 20,1h 37m,Romance
Yesterday Is Almost Here,8.1, 9,1h 32m,Romance
Shooting My Life's Script,6.2, 337,1h 35m,Romance
Dinda,6.7, 40,1h 34m,Romance
A Fragile Flower,7.8, 1.6K,1h 36m,Romance
Her Seyin Basi Merkür,3.6, 151,1h 45m,Romance
The Great Gujarati Matrimony,7.9, 79,2h 24m,Romance
Him,7.2, 21,1h 20m,Romance
Uang Panai' 2 Maha(r)l,7.7, 41,1h 46m,Romance
Boda Love,8.2, 14,1h 47m,Romance
Vaagai,8.4, 182,1h 59m,Romance
The Little Things,7.7, 41,1h 30m,Romance
Christmas in Lagos,4.6, 174,2h,Romance
Skinny Love,8.2, 88,1h 32m,Romance
Pasutri Gaje,6.0, 337,1h 49m,Romance
Azzamine,6.9, 111,1h 44m,Romance
Yolki 11,4.7, 169,1h 32m,Romance
A Christmas of Wonders,4.8, 127,1h 26m,Romance
Verliefd op Bali,5.1, 297,1h 53m,Romance
Goreyan Naal Lagdi Zameen Jatt Di,7.8, 28,1h 48m,Romance
Midwinter,6.9, 53,1h 35m,Romance
Kajolrekha,6.3, 176,2h 36m,Romance
How to Make Love,2.8, 11,1h 5m,Romance
40,4.8, 18,1h 43m,Romance
Lyubvi ne byvaet?,5.4, 157,1h 45m,Romance
Joy of Horses,5.8, 165,1h 30m,Romance
Zénithal,5.4, 83,1h 20m,Romance
Letuchiy korabl,3.8, 295,1h 40m,Romance
A Soweto Love Story,4.4, 282,1h 41m,Romance
Romeo,6.1, 1.3K,2h 30m,Romance
Un/Happy for You,5.6, 350,1h 50m,Romance
Welcome to My Side,7.2, 87,1h 42m,Romance
Fragments of Us,7.8, 10,49m,Romance
Teasing Master Takagi-san Movie,6.7, 298,1h 59m,Romance
Honeko Akabane's Bodyguards,5.9, 40,1h 57m,Romance
Noche De Bodas,4.6, 226,1h 30m,Romance
Sign Here,6.2, 245,1h 40m,Romance
Ye xiao nü sheng,7.5, 40,1h 50m,Romance
L'heureuse élue,5.4, 238,1h 31m,Romance
Addy Daddy,7.4, 29,1h 58m,Romance
Hell City,9.1, 27,1h 30m,Romance
Jingle Bell Love,6.1, 217,1h 21m,Romance
This Is Not A Love Song,7.3, 41,1h 12m,Romance
Soft Love,6.6, 35,1h 54m,Romance
Mi Perfecto Ex,7.6, 19,1h 23m,Romance
Hrashwo Deergha,8.0, 82,2h 30m,Romance
Ibbani Tabbida Ileyali,7.4, 837,2h 40m,Romance
Lady Outlaw,7.0, 17,1h 44m,Romance
O2,6.6, 7.9K,1h 45m,Romance
Petta Rap,4.0, 1.7K,2h 3m,Romance
Elevator,5.3, 131,1h 35m,Romance
Swoon,5.7, 15,1h 23m,Romance
A Heart for Christmas,7.4, 102,1h 31m,Romance
Seven Seas Seven Hills,8.7, 89,1h 30m,Romance
Khwaabon Ka Jhamela,6.1, 106,1h 53m,Romance
Ondu Sarala Prema Kathe,7.6, 712,2h 29m,Romance
