Name,Rating,Votes,Duration,Genre,Duration_Minutes
Simarik,6.4,2600,1h 51m,Action,111
Devil's Knight,5.2,876,1h 30m,Action,90
Raqa,5.7,202,1h 47m,Action,107
Pani,6.9,3000,2h 23m,Action,143
Striking Rescue,5.7,404,1h 46m,Action,106
One Fast Move,5.0,2200,1h 48m,Action,108
Bangkok Dog,4.9,185,1h 25m,Action,85
Angels Fallen: Warriors of Peace,4.9,5800,1h 43m,Action,103
Overlord: The Sacred Kingdom,6.9,946,2h 15m,Action,135
The Family Star,5.4,5500,2h 39m,Action,159
The Last Kumite,4.6,2300,1h 45m,Action,105
Article 370,7.8,25000,2h 38m,Action,158
Life After Fighting,6.4,2000,2h 6m,Action,126
The Tiger's Apprentice,5.7,2200,1h 24m,Action,84
Agni,7.2,15000,2h 2m,Action,122
Agent Recon,2.4,672,1h 25m,Action,85
Justice League: Crisis on Infinite Earths - Part Two,5.5,5300,1h 34m,Action,94
London Calling,7.5,22,1h 49m,Action,109
Arena Wars,4.8,2100,1h 36m,Action,96
Black Heat,8.6,117,1h 33m,Action,93
Lights Out,4.9,1800,1h 30m,Action,90
Latency,4.2,2500,1h 34m,Action,94
Elyas,6.1,1400,1h 45m,Action,105
City Hunter,6.3,5600,1h 42m,Action,102
Freedom,5.9,1400,1h 50m,Action,110
Yolo,6.9,3700,2h 9m,Action,129
Die Hart 2: Die Harter,4.3,5500,1h 32m,Action,92
Wynonna Earp: Vengeance,5.6,1500,1h 36m,Action,96
Operation Undead,4.7,401,1h 50m,Action,110
The Twisters,2.5,332,1h 26m,Action,86
Rats!,6.5,121,1h 25m,Action,85
Sixty Minutes,5.7,5200,1h 28m,Action,88
Yodha,5.7,8800,2h 10m,Action,130
Golden Kamuy,6.3,2600,2h 7m,Action,127
11 Rebels,6.3,389,2h 35m,Action,155
Operation Blood Hunt,3.5,486,1h 33m,Action,93
Nice Girls,4.2,1200,1h 32m,Action,92
Paradox Effect,6.0,8600,1h 27m,Action,87
Heart of the Hunter,4.7,2200,1h 45m,Action,105
Hijack 1971,6.8,3300,1h 40m,Action,100
Everybody Loves Jenifa,8.3,86,2h 15m,Action,135
Alien Country,4.4,364,1h 36m,Action,96
Vettaiyan,7.0,39000,2h 43m,Action,163
Wanted Man,4.8,2600,1h 25m,Action,85
Khadaan,7.2,2100,2h 17m,Action,137
Escape,6.4,2000,1h 34m,Action,94
The Greatest of All Time,5.7,22000,3h 3m,Action,183
WWII: Operation Phoenix,6.3,75,1h 46m,Action,106
Ferry 2,5.6,3800,1h 34m,Action,94
Snow White and the Seven Samurai,3.2,292,1h 28m,Action,88
Murder Company,3.7,1500,1h 26m,Action,86
The Last of Us: Immunity,5.5,17,1h 4m,Action,64
Saripodhaa Sanivaaram,7.0,9000,2h 46m,Action,166
The Hangman,3.3,1000,1h 32m,Action,92
Savi,6.1,35000,2h 6m,Action,126
Sorgavaasal,6.6,1300,2h 18m,Action,138
Fight Another Day,4.9,349,1h 37m,Action,97
A.R.M,7.1,8700,2h 30m,Action,150
How to Rob a Bank,6.6,4200,1h 28m,Action,88
The Last Front,5.5,610,1h 38m,Action,98
The Lockdown,4.3,609,1h 57m,Action,117
Terminator: Skynet Rising,6.7,266,1h 28m,Action,88
40 Acres,6.8,130,1h 53m,Action,113
Raayan,6.5,11000,2h 25m,Action,145
Bionic,4.3,1700,1h 50m,Action,110
The Actor,3.4,732,2h 8m,Action,128
Kanguva,4.5,15000,2h 32m,Action,152
Bade Miyan Chote Miyan,3.8,39000,2h 43m,Action,163
Pusaka,5.5,104,1h 30m,Action,90
"Love, Courage and the Battle of Bushy Run",5.0,181,1h 53m,Action,113
Drive Back,4.8,305,1h 34m,Action,94
72 Hours,4.1,286,1h 27m,Action,87
Vedaa,6.0,4300,2h 25m,Action,145
Troubleshooters,6.6,415,1h 50m,Action,110
12 to Midnight,3.6,284,1h 36m,Action,96
200% Wolf,5.9,1300,1h 38m,Action,98
Jacob Tyler,4.3,57,2h 13m,Action,133
Chandu Champion,7.8,34000,2h 22m,Action,142
The Ballad of Davy Crockett,4.6,248,1h 36m,Action,96
Bagheera,6.7,7300,2h 38m,Action,158
KA,7.1,1600,2h 31m,Action,151
Outlaw,5.2,929,1h 22m,Action,82
Mura,7.3,6300,2h 9m,Action,129
Black Creek,7.3,8,1h 56m,Action,116
The Last Ronin,4.8,573,1h 55m,Action,115
Thangalaan,6.6,6600,2h 36m,Action,156
Guntur Kaaram,5.4,25000,2h 39m,Action,159
Get Fast,3.7,456,1h 28m,Action,88
GTMax,5.0,1200,1h 40m,Action,100
Kingdom 4: Return of the Great General,7.1,1300,2h 25m,Action,145
Shark Warning,3.4,267,1h 34m,Action,94
Ryan's World the Movie: Titan Universe Adventure,1.8,691,1h 20m,Action,80
Roadkill,3.7,682,1h 30m,Action,90
The Friendly,8.1,15,1h 41m,Action,101
The Lost Tiger,7.8,44,1h 30m,Action,90
Eagle,5.9,4900,2h 39m,Action,159
Hellhound,4.3,507,1h 43m,Action,103
Max,7.1,3300,2h 12m,Action,132
Don't Mess with Grandma,6.0,153,1h 21m,Action,81
Continental Split,3.6,545,1h 28m,Action,88
Cassino in Ischia,4.4,241,1h 53m,Action,113
Eye for an Eye 2,6.6,504,1h 30m,Action,90
Pimpinero: Blood and Oil,5.6,550,2h 1m,Action,121
Tillu Square,6.6,3400,2h 17m,Action,137
Big City Greens the Movie: Spacecation,6.2,542,1h 23m,Action,83
Agents,3.4,933,1h 22m,Action,82
Spiders on a Plane,5.1,371,1h 18m,Action,78
Alienoid: The Return to the Future,6.5,2600,2h 2m,Action,122
War of the Worlds: Extinction,3.1,204,1h 24m,Action,84
Big Rage,3.6,165,1h 55m,Action,115
The Charisma Killers,6.3,654,1h 41m,Action,101
Conquer: Lahad Datu,6.6,511,2h,Action,120
Invasion,4.8,678,1h 31m,Action,91
Bad Boyz,3.5,660,2h 30m,Action,150
Mission: Cross,6.1,2600,1h 45m,Action,105
Cells at Work!,6.8,219,1h 49m,Action,109
Ayalaan,6.0,4000,2h 35m,Action,155
Purushothamudu,5.1,2200,2h,Action,120
I Am What I Am 2,7.5,203,2h 14m,Action,134
Ka Whawhai Tonu,7.3,179,1h 55m,Action,115
Razakar: The Silent Genocide of Hyderabad,7.4,5300,2h 46m,Action,166
Auron Mein Kahan Dum Tha,6.5,41000,2h 30m,Action,150
Ghosts of Red Ridge,3.3,157,1h 21m,Action,81
Crisis Negotiators,6.7,716,2h,Action,120
Bidurbhai,9.2,379,2h 28m,Action,148
Hunting with Tigers,5.6,532,1h 49m,Action,109
Dirty Money,5.6,131,1h 40m,Action,100
